"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-23",,,,"19.7","26.1","13.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-24",,,,"15.6","19.4","13.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-25",,,,"16.2","21.1","12.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-26",,,,"20.3","27.2","12.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-27",,,,"20.2","26.1","17.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-28",,,,"19.1","25.0","12.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-29",,,,"17.4","25.0","11.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-30",,,,"19.1","28.3","9.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-31",,,,"21.9","31.1","13.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-01",,,,"22.6","30.6","15.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-02",,,,"24.0","32.8","15.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-03",,,,"22.8","32.2","17.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-04",,,,"24.9","31.7","17.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-05",,,,"22.2","26.1","18.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-06",,,,"18.6","23.3","14.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-07",,,,"18.1","26.1","13.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-08",,,,"19.0","25.0","13.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-09",,,,"20.2","27.2","12.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-10",,,,"22.3","30.6","15.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-11",,,,"22.6","29.4","16.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-12",,,,"22.6","28.3","18.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-13",,,,"21.1","27.8","15.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-14",,,,"20.9","28.3","13.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-15",,,,"21.2","28.3","15.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-16",,,,"18.4","25.0","11.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-17",,,,"19.1","27.2","10.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-18",,,,"21.1","28.9","16.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-19",,,,"22.2","28.9","17.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-20",,,,"21.6","27.8","16.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-21",,,,"22.6","30.0","15.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-22",,,,"23.3","30.6","18.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-23",,,,"20.6","25.6","16.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-24",,,,"16.8","22.8","12.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-25",,,,"15.3","22.2","10.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-26",,,,"15.3","23.3","8.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-27",,,,"15.9","25.0","8.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-28",,,,"17.3","26.7","8.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-29",,,,"16.5","23.9","10.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-30",,,,"17.1","25.6","11.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-08-31",,,,"14.9","20.6","10.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-01",,,,"11.8","16.1","6.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-02",,,,"13.1","21.7","4.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-03",,,,"12.3","13.3","10.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-04",,,,"19.7","26.7","12.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-05",,,,"17.2","20.0","13.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-06",,,,"15.2","17.8","13.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-07",,,,"15.1","20.6","11.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-08",,,,"14.2","17.8","12.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-09",,,,"13.3","17.2","10.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-10",,,,"13.1","20.0","7.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-11",,,,"15.1","24.4","6.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-12",,,,"16.9","26.1","8.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-13",,,,"19.6","28.3","11.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-14",,,,"20.4","25.6","15.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-15",,,,"20.8","27.2","16.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-16",,,,"21.2","28.9","15.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-17",,,,"21.3","28.3","15.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-18",,,,"22.4","30.0","16.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-19",,,,"21.4","27.8","16.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-20",,,,"20.0","26.7","13.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-21",,,,"18.7","25.0","12.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-22",,,,"16.8","25.0","10.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-23",,,,"19.9","29.4","11.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-24",,,,"23.3","31.7","16.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-25",,,,"24.6","32.2","18.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-26",,,,"24.1","32.2","17.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-27",,,,"24.8","32.2","17.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-28",,,,"15.3","18.9","11.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-29",,,,"11.6","15.6","7.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-09-30",,,,"9.4","15.0","4.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-01",,,,"9.8","17.8","2.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-02",,,,"11.5","19.4","4.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-03",,,,"15.8","22.8","7.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-04",,,,"19.1","25.0","13.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-05",,,,"16.3","21.7","10.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-06",,,,"13.2","15.6","10.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-07",,,,"17.8","21.1","12.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-08",,,,"20.8","25.6","15.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-09",,,,"16.7","18.9","14.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-10",,,,"18.4","23.9","13.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-11",,,,"10.5","14.4","4.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-12",,,,"8.6","15.6","2.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-13",,,,"12.1","17.8","3.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-14",,,,"16.6","20.0","13.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-15",,,,"19.1","23.9","13.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-16",,,,"7.3","12.8","2.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-17",,,,"7.4","13.9","-0.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-18",,,,"13.2","21.1","5.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-19",,,,"17.7","21.7","12.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-20",,,,"13.2","19.4","6.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-21",,,,"13.7","23.3","5.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-22",,,,"16.4","25.0","7.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-23",,,,"18.3","22.2","15.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-24",,,,"20.7","25.0","18.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-25",,,,"15.7","19.4","11.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-26",,,,"8.2","10.6","6.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-27",,,,"9.9","14.4","7.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-28",,,,"14.4","19.4","6.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-29",,,,"13.3","15.6","10.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-30",,,,"12.4","19.4","8.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-10-31",,,,"7.6","9.4","6.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-01",,,,"6.6","9.4","3.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-02",,,,"12.7","17.2","6.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-03",,,,"12.4","17.8","4.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-04",,,,"4.6","8.3","0.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-05",,,,"10.1","13.3","4.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-06",,,,"11.2","16.1","3.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-07",,,,"1.6","3.9","-2.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-08",,,,"0.5","8.3","-4.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-09",,,,"3.7","7.8","-3.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-10",,,,"-4.1","5.0","-6.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-11",,,,"-4.9","-1.1","-7.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-12",,,,"-0.6","3.9","-4.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-13",,,,"-0.3","2.8","-4.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-14",,,,"0.7","2.2","-0.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-15",,,,"3.0","6.7","-1.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-16",,,,"6.0","10.6","2.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-17",,,,"-2.1","1.7","-6.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-18",,,,"-0.3","3.9","-7.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-19",,,,"2.3","7.8","-1.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-20",,,,"-3.4","-1.7","-4.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-21",,,,"6.4","11.7","-3.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-22",,,,"3.3","9.4","-2.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-23",,,,"-2.8","1.1","-7.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-24",,,,"4.3","7.2","1.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-25",,,,"7.8","11.7","3.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-26",,,,"-0.6","2.2","-2.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-27",,,,"-3.6","0.0","-8.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-28",,,,"-0.5","6.7","-11.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-29",,,,"4.2","10.0","-4.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-11-30",,,,"1.1","6.1","-6.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-01",,,,"3.3","5.0","0.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-02",,,,"1.4","4.4","0.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-03",,,,"0.8","5.6","-1.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-04",,,,"1.4","5.6","-3.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-05",,,,"9.3","12.2","5.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-06",,,,"3.5","6.7","1.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-07",,,,"1.2","2.8","0.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-08",,,,"-0.7","1.7","-2.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-09",,,,"-1.4","1.1","-3.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-10",,,,"-1.5","0.6","-3.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-11",,,,"-6.2","-1.1","-10.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-12",,,,"-3.6","0.0","-7.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-13",,,,"-9.2","-6.1","-12.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-14",,,,"-12.1","-8.9","-15.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-15",,,,"-10.6","-4.4","-19.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-16",,,,"-6.9","-1.7","-12.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-17",,,,"-13.2","-6.7","-17.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-18",,,,"-5.9","-1.1","-13.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-19",,,,"1.8","5.0","-2.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-20",,,,"-1.8","1.1","-8.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-21",,,,"-10.1","-6.7","-12.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-22",,,,"-8.9","-4.4","-12.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-23",,,,"-1.6","1.1","-4.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-24",,,,"-4.1","-1.7","-7.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-25",,,,"-4.0","0.0","-5.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-26",,,,"-9.4","-5.6","-12.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-27",,,,"-16.9","-11.7","-21.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-28",,,,"-20.6","-16.7","-23.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-29",,,,"-20.1","-15.6","-23.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-30",,,,"-17.6","-10.6","-23.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-12-31",,,,"-19.9","-15.6","-23.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-01",,,,"-21.3","-15.0","-26.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-02",,,,"-16.6","-7.8","-26.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-03",,,,"-7.6","-5.0","-10.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-04",,,,"-9.7","-7.8","-12.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-05",,,,"-18.3","-12.2","-20.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-06",,,,"-22.4","-19.4","-28.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-07",,,,"-19.7","-11.1","-30.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-08",,,,"-4.6","-1.1","-10.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-09",,,,"-1.2","2.8","-4.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-10",,,,"-3.2","2.8","-12.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-11",,,,"6.9","10.0","2.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-12",,,,"9.3","15.0","-2.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-13",,,,"-10.9","-3.9","-16.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-14",,,,"-18.1","-12.2","-23.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-15",,,,"-18.9","-11.7","-23.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-16",,,,"-7.8","-2.8","-17.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-17",,,,"-6.9","-3.9","-10.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-18",,,,"-6.7","-3.9","-11.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-19",,,,"-3.7","-2.2","-5.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-20",,,,"2.6","5.0","-1.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-21",,,,"1.9","5.6","-1.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-22",,,,"-3.8","0.0","-5.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-23",,,,"2.9","5.0","0.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-24",,,,"-5.3","2.8","-9.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-25",,,,"-10.7","-7.2","-14.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-26",,,,"-7.7","-1.7","-15.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-27",,,,"3.4","6.7","-1.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-28",,,,"4.3","8.3","-0.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-29",,,,"-5.9","-1.7","-8.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-30",,,,"-9.4","-7.8","-11.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-01-31",,,,"-7.6","-2.2","-13.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-01",,,,"0.8","3.3","-1.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-02",,,,"-11.8","-3.3","-16.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-03",,,,"-11.1","-4.4","-20.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-04",,,,"-1.0","1.1","-3.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-05",,,,"-6.3","0.0","-12.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-06",,,,"-6.3","-1.7","-11.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-07",,,,"-8.7","-5.0","-12.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-08",,,,"-8.9","-2.8","-12.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-09",,,,"-7.2","-3.9","-13.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-10",,,,"-1.3","3.9","-5.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-11",,,,"-1.7","5.0","-6.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-12",,,,"-1.6","3.3","-6.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-13",,,,"-6.2","-1.7","-15.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-14",,,,"0.8","4.4","-2.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-15",,,,"4.8","10.6","-1.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-16",,,,"1.2","5.6","-6.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-17",,,,"-3.6","0.6","-11.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-18",,,,"-0.8","2.8","-5.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-19",,,,"3.2","7.8","-4.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-20",,,,"9.1","14.4","5.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-21",,,,"11.7","20.0","0.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-22",,,,"-3.1","-0.6","-7.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-23",,,,"-1.6","3.3","-8.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-24",,,,"2.4","5.0","-3.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-25",,,,"0.9","3.3","-3.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-26",,,,"3.6","8.3","-0.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-27",,,,"4.2","10.0","-3.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-02-28",,,,"9.4","15.0","4.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-03-01",,,,"2.3","6.1","-0.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-03-02",,,,"-0.4","0.0","-1.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-03-03",,,,"1.3","3.3","-0.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-03-04",,,,"0.1","1.7","-1.7",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-03-05",,,,"0.6","3.9","-1.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-03-06",,,,"-0.6","4.4","-5.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-03-07",,,,"0.6","2.8","-1.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-03-08",,,,"-1.4","1.1","-2.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-03-09",,,,"-0.7","5.0","-3.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2018-03-10",,,,"-0.1","2.8","-3.9",
